,Links,Company,Job Title,Rating,Date Posted ago
100,https://in.indeed.com/company/Hurun-Report/jobs/Research-Analyst-f0a6698a25dc796b?fccid=3ab11117edf4d0e0&vjs=3,Hurun Report,Research Analyst,0,16
101,https://in.indeed.com/company/LivetechIndia-Institute/jobs/Data-Analyst-cd17661c528e1e00?fccid=ba731d519d69bf3b&vjs=3,LivetechIndia Institute,Data Analyst ( Trainer),0,9
102,https://in.indeed.com/company/Sate-Development/jobs/Business-Analyst-1365f27d58ebc319?fccid=87d735bc3a4dc8b3&vjs=3,Sate Development,Business Analyst,0,3
103,https://in.indeed.com/rc/clk?jk=b76e147f189b42c7&fccid=f1d8e147024abb3f&vjs=3,Deutsche Bank,Business Monitoring & Control Analyst,3.8,8
104,https://in.indeed.com/company/TradeSmart-Online/jobs/Business-Analyst-0fb954317c40676b?fccid=22d7cc1cb55a7223&vjs=3,TradeSmart Online,Business Analyst,0,3
105,https://in.indeed.com/rc/clk?jk=a7f401e82b6ad0a6&fccid=a18891e503c5406a&vjs=3,PCDS Infotech,Data/Research Analyst,0,  30+  
106,https://in.indeed.com/rc/clk?jk=33c7b592e90f5078&fccid=2987f9fca4df8362&vjs=3,Tax Genie,Data Analyst(BI),3.8,  30+  
107,https://in.indeed.com/rc/clk?jk=507422c0c0b3c8c4&fccid=f1d8e147024abb3f&vjs=3,Deutsche Bank,Risk Analyst,3.8,17
108,https://in.indeed.com/rc/clk?jk=7cbc2bb3c306f155&fccid=683f563b5cc25b70&vjs=3,Nielsen,TV Classification Analyst - Mumbai/Bangalore,3.8,14
109,https://in.indeed.com/rc/clk?jk=4ce504cf5a4df705&fccid=1825694ec803be7a&vjs=3,Reliance Industries,Technologist - Process Data Analytics,4.1,17
110,https://in.indeed.com/rc/clk?jk=00aac79819ac854b&fccid=39db4225436c86bc&vjs=3,Kotak Mahindra,Business Intelligence Analyst-Personal Loans-BIU (Business Intelligence Unit),3.9,21
111,https://in.indeed.com/rc/clk?jk=919dab414557379d&fccid=3bcf7eb192e678e4&vjs=3,General Mills,Sr Analyst - Materials Management,3.9,8
112,https://in.indeed.com/rc/clk?jk=59a728c046874c53&fccid=02d66caeebd0337f&vjs=3,Accurate Background,FP&A Revenue Analyst,0,1
113,https://in.indeed.com/company/Peoplestrong/jobs/Financial-Analyst-e146cb7d033c00b3?fccid=aaee7bf554d0411e&vjs=3,PeopleStrong,Financial Analyst- FPNA Analyst,3.3,4
114,https://in.indeed.com/rc/clk?jk=125f3207101a9d84&fccid=7ab5f4f72fdce966&vjs=3,Link Group,Service Desk Analyst,2.6,2
115,https://in.indeed.com/rc/clk?jk=33abdee35c8d20d7&fccid=1c76c3a36f6c7557&vjs=3,UBS,Business Support Analyst,3.8,  30+  
116,https://in.indeed.com/rc/clk?jk=0cb89a45d10aa81b&fccid=3bcf7eb192e678e4&vjs=3,General Mills,Analyst - Data & Analytics,3.9,  30+  
117,https://in.indeed.com/rc/clk?jk=c52ac251835616b9&fccid=14e7391c55beeb80&vjs=3,Maersk,SCD Analyst,4.1,30
118,https://in.indeed.com/rc/clk?jk=82786bf1558e2750&fccid=7ab5f4f72fdce966&vjs=3,Link Group,Research Analyst,2.6,8
119,"https://in.indeed.com/company/Liquitics-Solutions-Private-Ltd.,/jobs/Technical-Analyst-b9842cc3f68ffbcb?fccid=b61404aa1193f328&vjs=3","Liquitics Solutions Private Ltd.,",Associate Technical Analyst,0,3
120,https://in.indeed.com/rc/clk?jk=df82fe7ef257565d&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,Senior Analyst-Telecom Operations,4,  30+  
121,https://in.indeed.com/company/Boson/jobs/Technical-Analyst-e706a8dca49fe7cc?fccid=27a13d44d801911e&vjs=3,Boson,Technical Business Analyst,0,3
122,https://in.indeed.com/rc/clk?jk=6671ed8ed36420ac&fccid=5bcd1ef0a7f4fb99&vjs=3,Citi,Index Analyst,3.9,  30+  
123,https://in.indeed.com/rc/clk?jk=45314ea2bddaba34&fccid=3c6c62c1f9964388&vjs=3,Black & Veatch,Analyst- Energy Analysis,3.8,  30+  
124,https://in.indeed.com/rc/clk?jk=41351bc887e30fc0&fccid=30584d7fcc702043&vjs=3,Mirum Digital Pvt. Ltd.,Omnichannel Data Analyst,0,3
125,https://in.indeed.com/rc/clk?jk=1cf585b878cf81b9&fccid=126e3afd205caa95&vjs=3,Thermo Fisher Scientific,Business Analyst - Finance,3.4,1
126,https://in.indeed.com/rc/clk?jk=1f5596d7d44e3c36&fccid=44ad200e718a6d2e&vjs=3,"JPMorgan Chase Bank, N.A.",Asset Management - Global Liquidity Investment Specialist Support - Analyst,4.1,1
127,https://in.indeed.com/rc/clk?jk=da1e2e941ba29c7f&fccid=e95250d354b6a1c7&vjs=3,Collinson,Data Analyst,3.4,  30+  
128,https://in.indeed.com/rc/clk?jk=d7962f764248534b&fccid=35521e170c92d078&vjs=3,Shri Vile Parle Kelavani Mandal,Data Analyst,4,  30+  
129,https://in.indeed.com/rc/clk?jk=f02e9d1399f75d27&fccid=44ad200e718a6d2e&vjs=3,"JPMorgan Chase Bank, N.A.",Indirect Tax - Analyst,4.1,5
130,https://in.indeed.com/rc/clk?jk=c9ee0e75b7f6234f&fccid=046c9007b371673e&vjs=3,M&G plc,Analyst Research,0,15
131,https://in.indeed.com/rc/clk?jk=65b12ee847d1430c&fccid=1392500f835bba92&vjs=3,BNP Paribas,Business Analyst,3.9,15
132,https://in.indeed.com/rc/clk?jk=36907e04a00c470e&fccid=15cda31bad4394a7&vjs=3,CRISIL,Senior Quant Analyst,3.8,1
133,https://in.indeed.com/rc/clk?jk=45fabc6adcfe69bd&fccid=2e7fb2f475ab63dd&vjs=3,Kinesso,Analyst- Data Engineering,0,  30+  
134,https://in.indeed.com/rc/clk?cmp=ASP.NET-Developer%2FProgrammer-in-Mumbai-with-minimum-experience-of-1&ti=Business+Analyst&jk=2dd7a7125fe1db66&fccid=5a4f32a3ed7d76cf&vjs=3,WeAssemble,Mid Business Analyst,0,1
135,https://in.indeed.com/rc/clk?jk=30eeb0b8ac5cec3f&fccid=d9162e48c444e6e3&vjs=3,Colgate-Palmolive,Analyst- Master Data Management (Finance),4.3,22
136,https://in.indeed.com/rc/clk?jk=e7ba65f305415961&fccid=1ea0475711674f3b&vjs=3,"Fiserv, Inc.",Data Analysis - Associate,3.4,  30+  
137,https://in.indeed.com/rc/clk?jk=38db7f854db1f79e&fccid=969298818c0907be&vjs=3,LANXESS,Analyst - Database Administration,4,1
138,https://in.indeed.com/rc/clk?jk=b278feda51dcf47d&fccid=bc5180272d9b5855&vjs=3,Cognext,Data Analyst / Lead Data Analyst,0,  30+  
139,https://in.indeed.com/rc/clk?jk=62059210fc465aaf&fccid=f1d8e147024abb3f&vjs=3,Deutsche Bank,Risk Portfolio Analyst,3.8,  30+  
140,https://in.indeed.com/rc/clk?jk=391454eee2a43e18&fccid=5bcd1ef0a7f4fb99&vjs=3,Citi,Business Management Analyst - C10,3.9,9
141,https://in.indeed.com/rc/clk?jk=ed83ef375be2c75d&fccid=bdb6ed382ffe4a54&vjs=3,Token Metrics,Business Analyst (India Remote),0,  30+  
142,https://in.indeed.com/rc/clk?jk=e3791d085b18d819&fccid=4c8e46ce26c6d20f&vjs=3,CDSL,Business / Data Analysts – IT,0,  30+  
143,https://in.indeed.com/rc/clk?jk=6910db22bfc67c81&fccid=a0ca1c6c09aa3599&vjs=3,Micro Marketing Service India,GIS - ANALYST (Jun. / Sen.),0,  30+  
144,https://in.indeed.com/company/PBI-Analytics/jobs/Business-Intelligence-Developer-b139a62e73340836?fccid=d4aa60902c812037&vjs=3,PBI Analytics,Business Intelligence & Data Engineer,0,1
145,https://in.indeed.com/rc/clk?jk=2657b395d313964e&fccid=38ae06ed470b23b3&vjs=3,LeadSquared,Business Analyst,3.7,8
146,https://in.indeed.com/rc/clk?jk=38d2c54224ee678f&fccid=3bcf7eb192e678e4&vjs=3,General Mills,Senior Analyst,3.9,23
147,https://in.indeed.com/rc/clk?jk=327d3da159fb2bb5&fccid=e9aaabfdc8647e0d&vjs=3,Framestore,Recruitment Data Analyst,0,13
148,https://in.indeed.com/rc/clk?jk=57407dadb4da380f&fccid=3bcf7eb192e678e4&vjs=3,General Mills,"Business Intelligence Analyst, Data Insights and Visualization",3.9,  30+  
149,https://in.indeed.com/company/PARAS-CORDS-AND-CABLES-LLP/jobs/Data-Analyst-46905f400132444d?fccid=d8dec0edbc08d1b1&vjs=3,PARAS CORDS AND CABLES LLP,Data Analyst,0,  30+  
150,https://in.indeed.com/rc/clk?jk=68f09d73d56c5e1e&fccid=3a7bed83b06778e2&vjs=3,Augmenter Consulting,Data Analyst,0,  30+  
151,https://in.indeed.com/rc/clk?jk=f823dbeea3f89049&fccid=b6bce26653fc9dd9&vjs=3,Third Bridge,Research Analyst - Maps,0,16
152,https://in.indeed.com/rc/clk?jk=4e5285a8d8a758e2&fccid=1b5736ab9ecd9500&vjs=3,Nayara Energy,Analyst - Logistics,4.2,30
153,https://in.indeed.com/rc/clk?jk=740a2c2c0c48e483&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,Business Operations Analyst-Supply chain management,4,16
154,https://in.indeed.com/company/convergence-it-services/jobs/Business-Analyst-53d7a888a9399270?fccid=333bc4b3c68195dd&vjs=3,Convergence IT Services,Business Analyst,3.5,2
155,https://in.indeed.com/rc/clk?jk=53ff13bc74775417&fccid=dd616958bd9ddc12&vjs=3,Tbot Systems,Supply Chain Analyst,0,1
156,https://in.indeed.com/rc/clk?jk=e0084cafdacbdb0b&fccid=a4e4e2eaf26690c9&vjs=3,Accenture,Microsoft Power BI Software Development Engineer,4,29
157,https://in.indeed.com/rc/clk?jk=a4d62667e48860f6&fccid=3c6c62c1f9964388&vjs=3,Black & Veatch,"Analyst, Consulting",3.8,  30+  
158,https://in.indeed.com/rc/clk?jk=8d15aa106ed4c7b6&fccid=0c39fb2c91742dcf&vjs=3,Morgan Stanley,Associate - Market Risk Analyst,3.8,9
159,https://in.indeed.com/rc/clk?jk=9a8c602515dd77f1&fccid=5bcd1ef0a7f4fb99&vjs=3,Citi,Finance Transformation Office – Data Management Business Analyst,3.9,  30+  
160,https://in.indeed.com/rc/clk?jk=4a789f6be0fe3cbb&fccid=81deaefb5bc8f4e5&vjs=3,Russet Studio,Category Manager/ Data Analyst,0,  30+  
161,https://in.indeed.com/rc/clk?jk=4230b6871e7140c0&fccid=15cda31bad4394a7&vjs=3,CRISIL,Data Intelligence Analyst,3.8,  30+  
